Sample.name	Measurement.day	Tray	Running.order
1_1	1	1	2
1_2	1	1	8
1_3	1	1	14
1_4	1	1	20
1_5	1	1	26
1_6	1	1	32
2_1	1	1	3
2_2	1	1	9
2_3	1	1	15
2_4	1	1	21
2_5	1	1	27
2_6	1	1	33
3_1	1	1	4
3_2	1	1	10
3_3	1	1	16
3_4	1	1	22
3_5	1	1	28
3_6	1	1	34
4_1	1	1	5
4_2	1	1	11
4_3	1	1	17
4_4	1	1	23
4_5	1	1	29
4_6	1	1	35
6_1	1	1	6
6_2	1	1	12
6_3	1	1	18
6_4	1	1	24
6_5	1	1	30
6_6	1	1	36
T1_Col-0_1	1	1	1
T1_Col-0_2	1	1	7
T1_Col-0_3	1	1	13
T1_Col-0_4	1	1	19
T1_Col-0_5	1	1	25
T1_Col-0_6	1	1	31
10_1	1	2	40
10_2	1	2	46
10_3	1	2	52
10_4	1	2	58
10_5	1	2	64
10_6	1	2	70
11_1	1	2	41
11_2	1	2	47
11_3	1	2	53
11_4	1	2	59
11_5	1	2	65
11_6	1	2	71
12_1	1	2	42
12_2	1	2	48
12_3	1	2	54
12_4	1	2	60
12_5	1	2	66
12_6	1	2	72
7_1	1	2	38
7_2	1	2	44
7_3	1	2	50
7_4	1	2	56
7_5	1	2	62
7_6	1	2	68
8_1	1	2	39
8_2	1	2	45
8_3	1	2	51
8_4	1	2	57
8_5	1	2	63
8_6	1	2	69
T2_Col-0_1	1	2	37
T2_Col-0_2	1	2	43
T2_Col-0_3	1	2	49
T2_Col-0_4	1	2	55
T2_Col-0_5	1	2	61
T2_Col-0_6	1	2	67
13_1	2	3	74
13_2	2	3	80
13_3	2	3	86
13_4	2	3	92
13_5	2	3	98
13_6	2	3	104
14_1	2	3	75
14_2	2	3	81
14_3	2	3	87
14_4	2	3	93
14_5	2	3	99
14_6	2	3	105
15_1	2	3	76
15_2	2	3	82
15_3	2	3	88
15_4	2	3	94
15_5	2	3	100
15_6	2	3	106
16_1	2	3	77
16_2	2	3	83
16_3	2	3	89
16_4	2	3	95
16_5	2	3	101
16_6	2	3	107
17_1	2	3	78
17_2	2	3	84
17_3	2	3	90
17_4	2	3	96
17_5	2	3	102
17_6	2	3	108
T3_Col-0_1	2	3	73
T3_Col-0_2	2	3	79
T3_Col-0_3	2	3	85
T3_Col-0_4	2	3	91
T3_Col-0_5	2	3	97
T3_Col-0_6	2	3	103
18_1	2	4	110
18_2	2	4	115
18_3	2	4	121
18_4	2	4	127
18_5	2	4	133
18_6	2	4	139
19_1	2	4	111
19_2	2	4	116
19_3	2	4	122
19_4	2	4	128
19_5	2	4	134
19_6	2	4	140
20_1	2	4	112
20_2	2	4	117
20_3	2	4	123
20_4	2	4	129
20_5	2	4	135
20_6	2	4	141
21_1	2	4	113
21_2	2	4	118
21_3	2	4	124
21_4	2	4	130
21_5	2	4	136
21_6	2	4	142
22_2	2	4	119
22_3	2	4	125
22_4	2	4	131
22_5	2	4	137
22_6	2	4	143
T4_Col-0_1	2	4	109
T4_Col-0_2	2	4	114
T4_Col-0_3	2	4	120
T4_Col-0_4	2	4	126
T4_Col-0_5	2	4	132
T4_Col-0_6	2	4	138
23_1	3	5	145
23_2	3	5	151
23_3	3	5	157
23_4	3	5	163
23_5	3	5	169
23_6	3	5	174
24_1	3	5	146
24_2	3	5	152
24_3	3	5	158
24_4	3	5	164
24_5	3	5	170
24_6	3	5	175
26_1	3	5	147
26_2	3	5	153
