samples;group;DGDG 32:0;DGDG 32:2;DGDG 32:3;DGDG 34:0;DGDG 34:1;DGDG 34:2;DGDG 34:3;DGDG 34:4;DGDG 34:5;DGDG 34:6;DGDG 36:2;DGDG 36:3;DGDG 36:4;DGDG 36:5;DGDG 36:6;DGDG 38:5;DGDG 38:6;MGDG 32:2;MGDG 32:3;MGDG 32:4;MGDG 32:5;MGDG 32:6;MGDG 34:1;MGDG 34:2;MGDG 34:3;MGDG 34:4;MGDG 34:5;MGDG 34:6;MGDG 36:2 (1);MGDG 36:3 (1);MGDG 36:4 (1);MGDG 36:5 (1);MGDG 36:6 (1);MGDG 38:4;MGDG 38:6;PC 32:1 (1);PC 32:2 (1);PC 32:3 (1);PC 32:3 (2);PC 34:1;PC 34:2;PC 34:3;PC 34:5;PC 34:6;PC 36:1 (1);PC 36:2 (1);PC 36:3 (1);PC 36:3 (2);PC 36:4 (1);PC 36:5 (1);PC 36:5 (2);PC 36:6 (1);PC 38:2 (1);PC 38:3 (1);PC 38:4 (1);PC 38:5 (1);PC 38:6 (1);PE 34:1;PE 34:2;PE 34:3;PE 34:4;PE 36:2 (2);PE 36:3 (1);PE 36:3 (2);PE 36:4 (1);PE 36:5 (1);PE 36:6 (1);PE 38:1 (1);PE 38:2 (1);PE 38:3 (1);PE 38:5 (1);SQDG 32:0;SQDG 34:2;SQDG 34:3;SQDG 34:4;SQDG 34:6;SQDG 36:3;SQDG 36:4;SQDG 36:5;SQDG 36:6;PG 32:0;PG 32:3 (1);PG 34:1 (1);PG 34:2 (1);PG 34:3 (1);PG 34:3 (2);PG 34:4  (1);PG 34:4  (2);PG 36:4 (2);PI 34:2;PI 36:5;PI 36:6;TAG 48:1;TAG 50:1;TAG 50:2;TAG 50:4;TAG 50:6;TAG 52:1;TAG 52:2;TAG 52:5;TAG 52:6;TAG 52:7;TAG 52:9;TAG 54:1;TAG 54:6;TAG 54:7;TAG 54:8;TAG 54:9;TAG 56:6;TAG 56:8;TAG 56:9;TAG 58:6;TAG 60:5;TAG 60:6;TAG 60:7;Lyso-MGDG 16:3 (1);Lyso-MGDG 18:3 (1);Lyso-PC 18:2;Lyso-PC 18:3;DAG 34:2;DAG 34:3;DAG 36:3;DAG 36:4;DAG 36:5;DAG 36:6
1_1;KO-1;235359.2188;10315.26465;194990.2656;271391.8438;1799590.25;7359123;10544396;328172.1875;2144046.75;13544406;163168.3438;1110176.375;1400433.5;4927053.5;47586048;182814.1563;1135332.75;21557.22266;699187.9375;97618.21875;180826.7656;535957.875;2078791.25;995623.375;2895668;2795150.5;14174148;124461408;9190.459961;273344.4063;579276;4641385.5;59110584;92179.70313;411501.875;318197.125;1163462;628239.625;381149.2813;7225578;54507444;69229664;405613.0938;735030.4375;337681.375;5119713;5183255;5183255;30343584;72873424;72873424;56381676;14275.63477;130002.9688;549379.875;1363832.625;2048647.5;97940.6875;5302658.5;4535994.5;32859.57031;553453.5625;179644.7188;205147.2188;4431047;7458787;4088593;37613.57031;344242.4375;511094.625;97802.48438;200766.7344;616808.5;5682026;79516.71875;84900.01563;118269.8281;34208.34766;607747.3125;4044849.5;92931.22656;11306.95313;503024.6875;799261.5;5303101;351811.875;7744315.5;19026.81641;1396614.375;72957.92188;15185.89648;24875.66211;27497.04883;0;11738.67578;23632.81445;10627.36133;0;0;976939.25;1773950;326668.125;85220.07813;13792.31934;1345104.75;7792231.5;12849705;5522576.5;374300.25;148048.0938;53818.69531;51530.375;27219.73828;202363.7188;176596.125;27991.30859;32201.40625;17506.74414;10131.66992;98565.14844;237820.375;13156.83789;192891.4531;657938.25;298343.5938
1_2;KO-1;256199.5625;10827.61621;207939.9531;292016.375;1939447.75;6656192;8517992;431660.875;2348041.25;13392927;183385.9531;1133795.25;1405348.375;5172234.5;48036688;188551.2344;983732.875;30394.29688;637324.4375;100994.6094;195918.1563;509142;2314397.25;1577568.25;2443337.5;2879049.5;12914450;112363128;9644.798828;227181.6406;443316.375;5140572.5;48200188;89770.03906;380552.9688;319745.875;955949.25;520642.2188;338725.0313;7838974.5;45255140;61616968;344548.625;701261.5625;373383.3125;4436857;4606622;4606622;27297028;52832464;52832464;51910608;14708.57422;125848.3125;523730.75;1106684.625;1358914.375;98246.28125;4473645;4181985.75;26599.2168;512484.125;228869.6563;165027.6406;3894291;6522417;4001100.5;43073.61719;310203.75;443626;82031.25781;155487.5938;664090.8125;5056761.5;68159.72656;62857.20703;84811.82031;33140.55469;514244.875;3430406.5;46922.39453;4884.830078;311343.0313;468495.3125;2706346;293033.1563;5740096;11448.67383;140171.2344;38885.71875;9650.553711;15899.62891;210099.125;487994.6875;146306.625;26573.93555;11750.41797;197538.25;379543.5;550911.875;1415651;223329.375;51129.21094;16476.92578;585227.25;4815111.5;7778858;3689592.75;0;60094.125;36693.42969;49168.42188;20627.81055;99806.0625;102924.3984;27499.16211;40755.47656;19080.16211;13002.45605;139181.4219;272392.0625;18033.34766;174245.3594;873448.4375;283411.0313
1_3;KO-1;188608.5781;10447.16992;188975.0156;255770.5313;1502971.375;4955744;8875554;302285.625;2077110;12654354;131162.8438;920087.1875;1231062;4129121;45626776;158066.9531;1028160.438;17306.55859;566244.625;100960.8594;152541.7188;528345.1875;1486279.25;854544.875;2243864.5;2152695.5;10689442;108151176;8977.597656;256856.7969;390131.875;3953983.25;48452100;91062.27344;363247.5625;265546.2813;879816.8125;554217.875;344167.625;6672487;43415608;57515152;351384.3438;872647;311917.8125;4739507;4360227;4360227;26479856;54311056;54311056;55317680;17166.91602;134361.625;431893.375;1160312.875;1651014.125;106841.7344;4622099;4468217;33688.96484;438564.8438;203692.1875;192163.6094;3876982.75;6774522;4517650;40588.96094;319416.75;435749.8125;83034.10938;143685.0313;487475.5313;5096764;67873.3125;68933.14063;71804.38281;35476.96094;479671.9063;4327189;51434.19922;8402.862305;351311.375;590139.8125;3862296;287390.5;8784368;17958.47656;762418.8125;61664.40625;18059.66602;29175.42578;95105.58594;141293.3125;94005.99219;13437.45703;8751.681641;27987.85547;122003.7813;261897.625;1227011.875;214707.5;63030.52344;20169.5957;406369.625;4483193;7438718;3563301;42771.20313;40948.98438;39054.40625;41371.34375;12768.34961;65628.25;105620.9063;18736.67773;24439.17969;19578.42578;13316.07715;99243.02344;274088.5625;15374.05469;197469.875;777988.9375;357494.9688
1_4;KO-1;181438.2969;6706.404297;171137.7969;188304.9063;1458085;4751508.5;8180632;284467.125;1922997.25;11107350;110939.6875;764604.1875;1084286.5;3860742.5;39054572;124159.0156;829338.4375;15314.26953;390042.1875;94699.80469;136541.4844;432819.5313;1057701.75;663360.875;1822008.75;1788486.125;8990483;112752192;9782.108398;199529.125;412523.3125;3701689.75;40831476;63591.91406;289881.0313;221853.1875;635927.75;456362.9375;280370.6563;5020142.5;36046628;45438528;358977.75;790941.1875;249224.1406;3201391.5;3596737;3596737;22703606;51915312;51915312;48114356;11987.97266;86109.21875;340807.4688;878846.8125;1091122.875;88061.07813;4337983.5;4222246;24332.76367;338753.0625;198005.8438;159803.6875;3356075;6520180.5;3635060.5;26318.95117;225856.9375;341215.5313;82040.23438;121553.5859;371545.9063;4382683;59264.79688;62432.50781;50719.65625;26782.04492;391619.375;3667041.75;33391.80469;5171.478516;181203.1094;353023.5;2564619.25;189593.4688;5976480.5;11057.53516;654775.3125;30426.94727;8247.871094;17635.24805;69556.99219;88732.95313;59258.69531;17391.51758;12118.35156;0;36888.92188;0;1184844.25;187124.625;69682.34375;13454.3418;91016.57813;3532148;5896325.5;3215177.5;58679.38281;15208.42188;26213.10156;35154.48047;12787.08398;64256.11719;101570.375;15025.47266;17735.07227;12259.66992;8248.164063;62081.16016;167316.875;10947.55469;110866.9531;596302.8125;315653.9375
1_5;KO-1;192977.5156;8549.144531;169718.6406;224844.3125;1542481.125;4892527;7867182;336074.125;2231074;11973083;121116.75;888551.25;1216547.125;4021082;42807520;148724.875;952100.625;13471.38086;563302.875;71551.14844;153481.8438;444642.9688;1407677.375;861351.4375;1916809.25;2011303.375;10117305;104534040;7398.148438;205029.4063;456768.75;4221185.5;47734632;74164.65625;311484.75;253038.5938;857656.9375;460869.0938;320953.5625;5775640;42259132;55726032;326109.25;658434.25;272296.3438;3619194.25;3964507.75;3964507.75;23166544;52627540;52627540;49956668;17730.6582;98381.6875;371673.75;942758.4375;1250987.875;89277.85938;4590600.5;4609364.5;32761.28516;375324.25;201746.9063;165544.9375;3512973.75;6705119;4306229.5;32992.55469;265668.7188;430508.625;90183.52344;124805.4219;473089.8438;4316397;51232.54688;56625.48828;57022.51563;33022.27734;473891;3955396;42526.69922;5383.787598;259609.25;390540.9063;3340259.25;215411.2188;6523886;13050.78711;868502.125;45969.88281;12877.74609;21138.61328;138130.9375;278358.4375;132666.25;28920.38867;13562.66797;88179.46875;816121.3125;0;1413678.25;218472.5;72420.82813;19541.80469;328619.75;4263161.5;7268329.5;4069870;124663.8906;46717.72656;36124.64844;44983.71875;16178.60742;98953.20313;122784.4375;18618.58594;22569.90625;17272.1875;13692.64844;74433.3125;243567.2188;11177.6543;131874.3438;726448.8125;336942.125
1_6;KO-1;203625.0625;8558.337891;194132.3125;237788.5781;1771207.375;5265032.5;9165022;344398.9688;2324932;12204768;140437.1875;915560;1195937;4832377;42953212;165739.0938;1020971.063;19344.70313;597792.375;86993.42188;157388.1094;484726.625;1699890.5;1071365.5;2270603.25;2392606;10902216;106645568;8814.964844;233201.7188;298297.6875;4252753.5;46401616;86632.78125;369438.9688;297750.75;1052041.125;516257.3438;327854;7502971;43189688;49813900;334098.8125;725007.5625;342658.5625;4185769.75;3851971.5;3851971.5;25882728;55416744;55416744;50459752;20175.46875;142719.0938;466791.7188;1156798.5;1561949.75;111970.875;4937959.5;5002175;35038.66406;393879.5938;249417.8125;183233.125;4074732;7917246.5;4657308;37250.6875;289838.4375;414169.5625;84980.25781;140983.1719;601123.6875;5051968;62816.0625;68568.03906;54034.30859;38058.82422;498332;4558230.5;46945.38281;6667.610352;304504.0625;456922.2813;3666969.5;267521.5;7591903.5;15608.57813;1300150;65914.85938;17143.38867;26324.41406;63277.84766;49946.95313;58438.55859;14743.80469;7264.151367;0;0;123324.7344;1038999.125;216790.3594;57141.76563;24322.66602;567282.25;4621014.5;6895316;3457424;162049.2031;78263.16406;36482.85938;48870.69141;12423.68945;68487.28125;99656.23438;19376.72656;24662.47656;15288.09766;10263.54199;80706.88281;194416.9688;16837.27148;158836.7031;698185.5;278513.625
2_1;KO-2;173777.0313;0;171084.5;226930.2813;1692316.125;5637347;9595278;316214.1875;1924189.75;10900820;154558;1045931;1155534.75;4154832;47598604;150298.4844;868730.125;14984.84961;584103;0;69842.92188;422985.6563;1700507.25;1179663.875;2125722;2511565;10822227;111835216;9683.035156;206230.4063;368709.3125;4024875.25;47489592;71459.9375;325872.8438;270592.6875;839251.6875;480241.1875;286697.9375;7039146.5;44989832;55365560;441189.5;613111.875;374018.4375;4297252;3968760.5;3968760.5;25877498;55801076;55801076;45782584;11688.49023;106558.5313;431312.125;937677.125;1262491.125;95059;4413962.5;3861502.5;22733.79688;351017.0938;185561.5625;176190.3125;3170385.5;5846315;3609867.75;39084.05469;282608;405080.9375;79845.14063;157904.3281;524751.5;5271356;0;51350.78906;113973.4453;27682.36523;434026.9375;3632879.25;73698.65625;6521.123047;395888;733184.375;3547239.5;260669.4063;6244585.5;14046.9209;1178213.125;62667.27344;14974.25977;22880.78125;63632.29688;64433.26563;43333.32813;18387.32422;7034.394531;0;0;75323.875;1013080.375;179359.1094;48417.92188;15555.58398;315016.5;4068500.5;6471651.5;3012072.25;225578.9063;46364.46094;25646.99219;52206.71875;12078.4668;83694.28125;87502.03125;36544.46875;47214.70313;28452.99023;17725.48438;61166.21484;186160.4531;11902.62305;128572.1641;587181.5;309073.5313
2_2;KO-2;222241.6875;11649.55078;173318.7188;261638.9375;1742190.75;5599269;8875750;358522.25;1852592.375;10608772;151459.9219;1068105.625;1102666.25;4205158.5;43313668;151457.0781;963976.25;17021.52734;472519.4063;91065.35938;146488.3906;415807.75;1624537.75;961843;2114273.5;2028407.625;9921789;105102304;10786.01367;194407.125;379788.9375;4038041;43112240;75120.28125;315992.5938;273638.3125;649610.25;482979.8125;273981.8125;7274957.5;40861504;52860608;383058.875;669396;381609.4688;4221467;4329810;4329810;20499226;48269168;48269168;44199024;12809.79883;96970.35938;329875.5313;878705;1174577.375;126995.3203;5299605.5;4779877.5;36119.74219;411442.7813;264785.625;188398.3125;4091548.75;6982824.5;4275253.5;40138.69531;272055;406169.7188;70845.60156;174881.5938;646551.4375;5237716;73902.79688;64560.14844;114697.6328;52246.36328;566414.625;4069540;63632.53906;7409.607422;419503.1875;640586.8125;3505940.25;364750.4375;7958293;13752.44531;307994.0313;64357.71094;19876.79297;28397.58594;130540.7031;154049.8125;67896.5625;18924.85742;6197.268555;38874.11719;0;204632.375;1087415.875;164609.2344;46230.84375;8689.668945;0;3280440.75;6291198.5;2637281.5;0;32462.44531;23433.65234;38482.53906;11500.88379;42717.95313;72419.21875;21613.59375;33495.9375;23211.11328;14360.19922;82189.25781;256428.75;15839.45313;164813.3906;805119.4375;287491.5
2_3;KO-2;207017.125;0;199982.9688;250239.0156;1402888.125;5050092;9785932;263228.3125;1682442.125;11493592;152381.4063;1063623.375;1146077.125;3795600.25;44382600;125285.9453;902085.75;13434.68652;512053.0938;51010.46875;98197.11719;494205.25;1264374.375;729701;2195013.5;2043727.5;9898218;115009848;10290.09375;224933.9375;299163.8125;3342369.5;45845352;86336.00781;329410.9063;243716.5938;738430.9375;558925.4375;295693.5625;6599697;43689964;55519964;456093.625;850104.5;487784.9688;4887195;5486368;5486368;21579022;50318512;50318512;46159680;14748.06836;110172.8594;449442.0938;950406;1162726.25;122669.7344;5327777.5;4783542;26903.86914;303764.2188;307257.1875;260965.8125;3850926;7160132;4133902.5;38781.52344;289812.875;401645.875;75881.03906;160473.7969;495151.2188;5570281;73023.65625;76324.8125;99271.51563;35671.49609;454673.3125;4672565.5;66186.57031;11354.09961;437742.8438;676562.375;4067830.5;376783.75;11282496;18656.53516;999528;79719.57031;24754.80469;48529.91797;54576.80078;48580.42188;65171.62891;15781.21094;6627.044922;12898.23438;13683.25;0;616583.5625;147277.1406;37519.92188;19320.50391;60771.625;2779263.25;4965825;2423909.5;35101.21875;9446.140625;20487.2832;40611.03516;0;27436.14063;41796.59766;13907.29492;16942.72852;18499.4082;12505.92188;104577.2031;245919.0938;12794.28418;121922.6406;553128.5;250014.0938
2_4;KO-2;188836.8906;9547.510742;177265.125;235805.1875;1551187.125;4642840;7967356.5;314006.0625;1990621.5;11453351;138219.6719;974607;1096860;3811720;44541620;127604.2031;984396.125;15831.88477;449681.75;119295.9453;151993.6094;494422.5313;1343215.25;947398.4375;2124921.25;2142498.75;10574867;105898256;12362.04688;204597.5313;336172.5625;3741791.75;46317548;80468.52344;334059.4688;251236.6875;781327.25;441962.875;261824.8438;6990272;41643656;46721676;314894.875;686733.3125;325110.875;4085125;3694419;3694419;20225380;48447088;48447088;45382584;12735.37891;101538.2031;417394.0938;1024293.5;1179953.75;109112.5938;5091951;4439521.5;31596.78906;347727.8125;254231.0625;204776.5625;4008842;6538664.5;3732155.5;33814.125;264083.9375;368242.1875;68729.07813;145627.7031;487858.1875;4727064;67640.28906;72853.80469;71499.24219;41367.32031;476641.5313;4398331;49040.25;6150.177734;321800.8125;522896.6875;3433813.5;288910.2813;8521838;15200.59766;1185178.375;70546.11719;17484.46484;29897.40234;88656.82031;127009.5156;88559.1875;29370.99219;7305.224609;26909.57422;28162.8125;60304.0625;885370.375;154596.4219;45927.28125;18012.05664;104468.25;2990107.5;5244632;2367891.75;79658.10156;22963.66406;22329.49219;46033.53906;15349.76172;67112.10938;80202.51563;17361.48438;31993.65234;19780.42383;12765.13086;91528.83594;267779.5625;13302.50391;140999.2813;665247.0625;249976.0625
