sample;group;DAG 34:3;DAG 36:5;DAG 36:6;DGDG 34:3;DGDG 34:4;DGDG 34:5;DGDG 34:6;DGDG 36:3;DGDG 36:4;DGDG 36:5;DGDG 36:6;DGDG 38:4;DGDG 38:5;DGDG 38:6;LPC 16:0;LPC 18:1;LPC 18:2;LPC 18:3;MGDG 38:4;MGDG 38:6;MGDG 34:3;MGDG 34:4;MGDG 34:5;MGDG 34:6;MGDG 36:3;MGDG 36:4;MGDG 36:5;MGDG 36:6;MGMG 16:3;MGMG 18:3;PA 34:2;PA 34:3;PA 34:4;PA 36:4;PA 36:5;PA 36:6;PC 32:1;PC 32:3;PC 34:1;PC 34:2;PC 34:3;PC 34:4;PC 34:6;PC 36:2;PC 36:3;PC 36:4;PC 36:5;PC 36:6;PC 38:2;PC 38:3;PC 38:4;PC 38:5;PC 38:6;PC 40:2;PC 40:3;PC 40:4;PC 40:5;PE 42:3;PE 32:0;PE 32:1;PE 34:2;PE 34:3;PE 34:4;PE 36:2;PE 36:3;PE 36:4;PE 36:5;PE 36:6;PE 38:2;PE 38:3;PE 38:4;PE 38:5;PE 40:2;PE 40:3;PE 42:2;PG 32:0;PG 32:1;PG 34:1;PG 34:2;PG 34:3;PG 34:4;PG 36:2;PG 36:3;PG 36:4;PG 36:5;PG 36:6;PI 34:3;PI 34:2;PS 34:3;PS 42:2;PS 42:3;SQDG 32:0;SQDG 34:3;SQDG 36:6;TAG 54:7;TAG 52:5;TAG 52:9;TAG 54:8;TAG 54:9
AT1G51260_1;AT1G51260;0.256;0.237;0.204;810.874;45.59;89.547;490.171;35.246;88.562;110.034;3934.168;3.574;6.102;29.682;0.437;0.159;0.882;0.789;12.332;20.435;370.883;967.804;1714.753;37423.728;33.255;238.437;696.365;8992.002;28.494;23.839;1.307;1.033;0.854;0.692;0.96;0.324;3.182;3.104;20.274;167.266;154.905;9.357;4.813;14.908;47.52;177.782;233.539;117.999;2.245;2.853;3.478;2.549;1.084;0.612;1.029;1.336;0.831;4.202;0.618;1.244;157.103;101.755;2.493;7.307;19.107;85.894;91.229;29.469;1.47;1.475;1.935;1.791;3.145;1.19;3.667;15.616;35.628;72.049;140.099;239.858;728.599;1.87;2.817;6.185;5.909;5.383;90.5505;107.989;3.757;4.551;6.398;4.02;97.307;20.048;1.052;0.217;0.119;1.479;0.94
AT1G51260_2;AT1G51260;0.228;0.218;0.208;912.857;59.382;101.081;493.546;38.128;106.562;149.966;4537.422;3.36;8.551;28.646;0.394;0.154;1.016;0.937;9.691;10.13;507.336;1352.206;1971.091;40713.428;31.12;302.967;1028.103;10186.725;36.095;16.352;1.998;1.435;0.965;1.17;1.399;0.442;3.488;4.505;17.879;166.305;183.418;11.099;7.752;13.89;43.316;163.612;251.633;140.08;2.289;2.79;3.319;2.488;1.134;0.508;0.946;1.328;0.895;5.4855;0.574;1.614;165.909;121.35;3.27;7.632;19.589;89.627;104.549;36.487;1.468;1.686;2.158;2.171;3.606;1.549;5.06;34.218;49.505;105.738;164.544;273.558;720.389;4.042;2.718;4.905;5.142;6.073;113.0625;107.863;5.355;7.702;9.783;6.802;116.398;23.018;1.027;0.154;0.101;1.474;1.041
AT1G51260_3;AT1G51260;0.237;0.226;0.176;826.722;51.561;103.79;484.049;40.811;97.464;138.131;4040.763;3.464;8.661;27.759;0.342;0.191;0.931;0.836;13.234;17.62;477.689;1323.669;2217.803;38185.417;37.923;308.294;842.433;9006.878;22.951;12.822;2.109;1.428;1.123;0.948;1.05;0.299;2.859;2.542;31.393;182.188;147.938;8.769;3.273;21.418;69.373;200.983;224.047;101.309;2.306;3.287;4.325;2.859;1.104;0.696;1.263;1.381;0.772;4.7505;0.543;1.238;173.126;108.457;2.541;8.914;23.732;88.806;93.86;30.43;1.672;1.772;2.358;2.054;3.568;1.448;4.202;12.852;29.876;105.046;165.13;272.15;731.99;2.833;3.639;7.378;6.931;5.98;102.8865;114.353;4.223;5.026;6.813;3.954;110.441;23.086;0.622;0.115;0.036;0.775;0.523
AT1G75020_1;AT1G75020;0.281;0.235;0.243;963.174;56.4;94.442;521.586;42.475;100.939;134.227;4543.178;3.73;6.853;34.864;0.431;0.154;0.833;0.861;12.579;20.273;496.389;1300.861;2039.657;41595.438;39.002;264.294;830.582;9871.804;34.877;19.413;1.834;1.522;1.332;0.796;0.812;0.443;3.627;3.342;21.061;172.297;181.328;9.826;4.538;15.255;47.147;166.711;242.095;130.396;2.628;3.257;3.691;2.654;1.294;0.737;1.1;1.497;0.994;4.502;0.559;1.264;138.088;102.88;2.397;6.658;17.739;80.661;91.865;31.805;1.358;1.551;1.822;1.781;2.922;1.211;3.485;17.843;39.512;85.669;154.011;247.648;758.699;2.02;2.781;6.465;6.326;5.923;106.736;111.428;4.443;4.16;5.636;5.109;114.13;24.484;0.812;0.241;0.113;1.258;0.889
AT1G75020_2;AT1G75020;0.218;0.181;0.19;881.487;54.609;88.711;446.283;36.287;93.051;132.479;4112.35;3.408;7.28;26.149;0.336;0.107;0.704;0.723;11.698;15.003;540.87;1462.642;2074.623;39197.52;31.158;256.138;905.579;9263.852;29.06;16.998;0.437;1.03;1.163;0;0.207;0.228;3.158;3.428;14.821;148.544;169.432;9.319;5.06;12.256;36.302;134.398;211.34;121.67;2.125;2.598;2.973;2.164;1.023;0.521;0.872;1.238;0.844;4.284;0.452;1.239;137.198;108.724;2.488;6.276;16.157;73.032;90.182;33.234;1.305;1.354;1.739;1.677;3.118;1.405;4.032;30.068;46.269;110.144;167.468;266.525;707.164;1.847;2.592;5.32;5.675;5.863;111.377;104.303;4.562;7.166;8.972;6.087;102.556;19.76;0.591;0.124;0.071;0.876;0.683
AT1G75020_3;AT1G75020;0.271;0.193;0.192;949.827;57.68;101.554;534.848;35.45;104.323;125.282;4282.338;3.4;7.656;27.504;0.36;0.125;0.726;0.792;11.224;13.11;517.835;1362.809;2168.517;42143.526;26.229;227.431;713.146;8487.206;27.941;13.275;1.819;1.695;1.405;0.829;1.104;0.436;3.778;3.307;20.7;170.061;193.097;9.896;4.375;14.015;46.533;158.41;238.957;136.527;2.407;2.481;3.059;2.373;1.193;0.579;1.184;1.755;1.088;3.9735;0.564;1.425;140.102;110.432;2.524;6.071;18.88;79.369;92.741;33.766;1.152;1.275;1.623;1.688;2.51;1.033;2.771;20.603;46.335;92.592;162.062;269.589;792.237;1.566;2.515;5.522;6.028;5.684;133.8625;116.393;10.069;0.529;0.755;5.981;127.414;26.674;0.443;0.166;0.045;0.614;0.543
AT2G42010_1;AT2G42010;0.293;0.264;0.247;1023.656;58.858;105.886;553.679;42.994;111.53;134.097;4683.998;3.832;7.367;34.466;0.473;0.176;1.04;0.973;13.145;21.565;515.522;1369.545;2198.956;44868.706;42.532;290.389;875.38;10714.472;39.242;38.196;1.2;0.776;0.817;0.552;0.689;0.271;3.855;3.894;24.976;206.628;193.892;11.715;6.061;18.217;58.867;219.113;292.005;149.992;3.066;3.435;4.228;3.01;1.298;0.763;1.589;2.051;1.17;5.12;0.832;1.607;175.489;116.013;2.867;8.152;22.683;100.927;107.817;35.055;1.618;1.664;2.24;1.999;3.721;1.445;4.327;19.722;43.696;109.264;186.906;320.184;885.043;1.742;3.16;6.77;7.009;6.566;121.2975;139.084;4.15;5.116;6.985;4.602;119.448;25.378;1.207;0.336;0.126;1.668;1.062
AT2G42010_2;AT2G42010;0.25;0.201;0.17;871.483;56.361;102.156;519.662;35.449;104.324;127.948;4151.566;3.259;6.984;27.877;0.343;0.138;0.87;0.837;8.802;10.959;487.235;1343.304;2010.961;39747.668;30.664;271.164;841.095;8782.307;31.22;6.67;2.006;1.718;1.129;1.051;1.371;0.57;3.34;3.394;20.511;167.322;162.933;10.074;5.074;14.839;48.908;173.588;233.455;118.993;2.303;2.602;3.192;2.307;0.992;0.606;1.24;1.669;0.969;4.515;0.544;1.264;153.161;103.783;2.655;6.875;19.841;83.391;89.993;29.669;1.272;1.41;1.804;1.684;3.206;1.269;4.081;22.844;45.961;94.283;159.113;254.118;754.411;2.126;2.638;5.447;5.647;5.61;107.0105;108.116;3.815;5.865;7.672;6.113;113.839;21.43;0.677;0.11;0.058;0.944;0.633
AT2G42010_3;AT2G42010;0.34;0.154;0.191;989.526;56.96;97.854;538.921;36.184;104.848;136.726;4705.656;4.032;8.264;33.085;0.358;0.129;0.838;0.969;11.602;14.979;552.044;1355.633;2097.695;43739.883;29.243;245.799;839.264;9926.605;29.02;0.794;4.86;4.828;1.27;2.98;4.449;2.014;3.682;3.382;19.029;164.498;201.372;9.771;4.652;13.135;43.578;148.097;238.369;144.632;2.345;2.724;3.209;2.532;1.326;0.524;0.864;1.278;0.894;4.183;0.648;1.537;140.526;118.993;2.575;5.952;18.205;77.651;95.493;36.485;1.118;1.292;1.69;1.794;2.659;1.151;3.151;26.026;48.054;92.768;161.384;275.356;794.526;2.862;2.754;5.169;5.201;5.503;138.926;115.569;4.627;5.781;7.837;6.193;127.539;28.475;0.483;0.216;0.048;0.645;0.593
AT3G18850_1;AT3G18850;0.298;0.276;0.258;1063.583;63.09;114.83;597.179;42.648;111.814;135.904;4935.399;4.28;6.284;30.986;0.384;0.156;0.87;0.841;13.613;20.689;533.202;1476.123;2472.743;49786.075;40.037;303.938;954.006;11259.034;43.267;26.287;0.759;0.787;0.823;0.042;0.474;0.326;3.735;3.577;25.62;193.395;192.142;11.258;5.504;17.433;56.537;200.332;280.933;151.924;3.409;3.713;4.109;2.72;1.21;0.948;1.484;2.06;1.269;4.5865;0.762;1.569;168.973;120.033;2.819;7.54;22.408;91.49;107.222;38.419;1.605;1.807;2.033;1.86;3.502;1.386;3.635;19.276;45.208;98.693;184.304;306.885;890.995;1.857;3.446;6.377;6.291;6.629;114.8765;123.357;4.297;6.213;8.445;4.947;119.64;25.111;1.325;0.351;0.138;1.871;1.181
