sample;group;DGDG 32:0;DGDG 32:2;DGDG 32:3;DGDG 34:0;DGDG 34:1;DGDG 34:2;DGDG 34:3;DGDG 34:4;DGDG 34:5;DGDG 34:6;DGDG 36:2;DGDG 36:3;DGDG 36:4;DGDG 36:5;DGDG 36:6;DGDG 38:5;DGDG 38:6;MGDG 32:2;MGDG 32:3;MGDG 32:4;MGDG 32:5;MGDG 32:6;MGDG 34:1;MGDG 34:2;MGDG 34:3;MGDG 34:4;MGDG 34:5;MGDG 34:6;MGDG 36:2;MGDG 36:3;MGDG 36:4;MGDG 36:5;MGDG 36:6;MGDG 38:4;MGDG 38:6;PC 32:1;PC 32:2;PC 32:3;PC 34:1;PC 34:2;PC 34:3;PC 34:5;PC 34:6;PC 36:1;PC 36:2;PC 36:3;PC 36:4;PC 36:5;PC 36:6;PC 38:2;PC 38:3;PC 38:4;PC 38:5;PC 38:6;PE 34:1;PE 34:2;PE 34:3;PE 34:4;PE 36:2;PE 36:3;PE 36:4;PE 36:5;PE 36:6;PE 38:1;PE 38:2;PE 38:3;PE 38:5;SQDG 32:0;SQDG 34:2;SQDG 34:3;SQDG 34:4;SQDG 34:6;SQDG 36:3;SQDG 36:4;SQDG 36:5;SQDG 36:6;PG 32:0;PG 32:3;PG 34:1;PG 34:2;PG 34:3;PG 34:4;PG 36:4;PI 34:2;PI 36:5;PI 36:6;TG 48:1;TG 50:1;TG 50:2;TG 50:4;TG 50:6;TG 52:1;TG 52:2;TG 52:5;TG 52:6;TG 52:7;TG 52:9;TG 54:1;TG 54:6;TG 54:7;TG 54:8;TG 54:9;TG 56:6;TG 56:8;TG 56:9;TG 58:6;TG 60:5;TG 60:6;TG 60:7;MGMG 16:3;MGMG 18:3;LPC 18:2;LPC 18:3;DG 34:2;DG 34:3;DG 36:3;DG 36:4;DG 36:5;DG 36:6
AT1G73600_1;AT1G73600;4.4899;0.19346;3.2173;4.4676;30.1126;90.5103;145.515;6.8254;46.7058;265.5323;3.2166;17.9723;25.755;91.7575;919.7954;3.7385;22.1669;0.41789;17.2441;3.0823;8.7009;11.8559;45.716;36.9;48.0725;65.7804;306.5222;1985.511;0.5251;4.0766;7.6497;100.4138;976.1754;2.1257;8.8995;5.6158;28.0705;15.2386;175.6969;761.8846;968.153;3.1089;16.8624;9.3539;96.4166;64.8079;320.781;850.7985;966.6918;0.51569;3.4698;9.7704;25.8407;40.8954;2.0868;74.1581;73.1421;0.70863;7.2619;7.648;68.0951;145.2946;90.4867;0.64048;36.9;48.0725;1.1184;3.6593;15.5413;156.4827;1.7948;1.8052;1.5732;0.48082;13.2433;82.4759;2.0756;0.33292;9.7356;23.2571;75.684;1.29962;87.3842;3.1728;0.78771;0.82568;0.65082;1.9626;2.0173;0.22762;0.13751;0.84143;8.4602;24.2312;19.3222;3.0942;0.87241;0.65199;63.8913;79.4273;98.0654;39.171;16.5892;2.3873;0.58376;0.95888;1.0967;2.7038;2.5313;0.3765;0.37767;0.34704;0.2251;2.1036;5.7862;0.8886;2.0342;17.2409;11.1758
AT1G73600_3;AT1G73600;4.7808;0.2125;3.0884;4.2608;30.7523;86.6213;152.2455;6.6964;43.7792;242.4506;3.4862;19.5537;22.5852;96.146;871.9029;3.2991;18.4882;0.37256;20.5582;2.5474;7.4877;10.9518;50.5348;33.2575;51.4901;70.194;307.1724;1877.5603;0.65263;3.5575;10.5223;109.2803;999.1836;1.8594;7.0867;4.9593;30.6801;14.4127;179.797;820.6064;1058.9138;3.3344;14.1331;10.7358;112.2314;77.4916;385.3189;790.3001;907.367;0.55555;4.4118;9.2239;22.2134;46.6156;2.3394;84.5221;84.0752;0.85936;7.6666;10.2546;74.8103;149.4124;101.4925;0.64226;33.2575;51.4901;1.5708;3.7798;16.8954;143.6362;2.0896;2.2279;1.8017;0.73416;15.165;87.1295;3;0.47863;18.5656;36.5549;92.3734;1.28651;107.1251;4.9291;1.2345;1.2013;0.64342;1.7275;1.4023;0.15761;0.079968;0.84281;7.4369;21.5692;14.8012;2.7142;0.53731;0.72717;68.7506;85.7766;95.8475;36.1732;19.0045;2.1741;0.15534;0.93532;1.0742;2.1696;2.0155;0.18195;0.18492;0.34324;0.23751;1.888;6.9618;0.916;3.7248;13.6083;9.9882
AT1G73600_4;AT1G73600;4.536;0.17512;2.9981;3.8842;30.5642;103.0009;160.5531;6.1163;45.5629;239.7576;2.94;18.247;22.6448;83.9094;822.8889;3.4371;19.1288;0.38488;15.0521;2.4552;7.0087;10.7297;43.697;32.5183;46.722;61.6341;277.989;1894.3907;0.57878;3.8301;5.8284;102.9755;995.8092;1.7707;7.7539;4.9289;21.1991;14.8627;156.5817;755.782;1087.1207;2.2943;14.5821;9.9617;95.6744;65.3712;392.9572;797.5238;1040.178;0.57002;3.151;8.5956;21.9371;34.5302;2.0069;80.3571;77.2308;0.85491;6.898;8.7561;76.1395;162.0234;103.3643;0.62504;32.5183;46.722;1.457;3.7193;13.5638;132.693;1.6942;1.7999;1.9;0.75085;12.1369;80.3034;2.5162;0.34657;14.0818;30.859;82.1018;1.28417;89.4445;3.9775;0.96431;1.0738;0.48828;1.9537;1.7405;0.18777;0.15785;0.90004;7.8148;24.9815;19.304;2.5579;1.0283;0.60948;58.1178;70.7837;91.0375;41.3252;16.88;1.9897;0.20604;0.71537;0.94994;2.2641;1.8665;0.22252;0.25158;0.26023;0.17447;2.3669;5.0369;0.96152;2.7136;15.811;12.0736
AT1G74320_1;AT1G74320;2.1079;0.077516;1.5542;1.9382;12.4186;57.39;140.981;3.1643;23.6439;155.3483;1.1485;13.2173;11.4613;44.7506;893.6434;1.9024;10.7321;0.11319;8.1752;1.0647;2.8551;5.0777;17.9056;17.0571;44.6029;48.1485;191.4473;2417.3206;0.17252;1.3517;5.6418;92.5887;997.3145;0.85188;3.2989;2.9657;9.1075;6.3579;127.0861;804.5649;1052.3298;5.2466;7.1663;4.7351;47.968;129.3328;418.6123;897.328;1013.5686;0.21199;1.4742;5.4544;10.3349;22.2544;1.2506;31.0431;96.7726;0.34262;5.5722;5.9092;56.1253;105.5214;56.7642;0.37741;3.3253;44.6029;0.98618;3.0413;7.3674;93.0374;0.64347;0.81175;1.6835;1.2405;6.6518;42.0284;1.6781;0.17582;9.9401;19.2476;61.9416;163.91098;12.5706;2.3168;0.42831;0.40214;0.13535;0.55041;1.2927;0.24659;0.12318;0.225;2.9993;17.7418;15.406;1.8724;0.63717;0.14572;53.1258;30.5589;42.5708;18.2205;8.9684;1.1033;0.39539;0.48218;1.4266;1.7349;1.7908;0.35469;0.31846;0.21711;0.11638;0.50099;1.4162;0.15113;1.2235;5.641;6.0143
AT1G74320_2;AT1G74320;2.083;0.011753;1.4323;1.7589;12.0686;48.8506;124.2934;2.6455;20.5636;128.9429;1.0384;10.3968;10.7018;35.6156;920.4952;1.397;8.9833;0.099252;4.7328;1.1443;2.4767;5.2689;17.1106;14.7619;42.1451;47.3848;168.4075;2546.4785;0.19659;1.2032;4.4533;76.7125;1047.0402;0.72574;2.8333;2.5043;4.8964;5.8087;102.1673;772.9236;1076.7137;6.1921;7.3053;4.3761;34.9685;126.2644;391.039;950.4209;959.2245;0.17771;1.3445;4.0253;8.6579;12.4917;1.2553;28.704;98.1215;0.26926;5.3988;4.9958;50.4499;99.9525;48.7173;0.25044;3.1404;42.1451;0.94983;3.1469;6.1119;90.8652;0.73841;0.65249;1.4993;1.0175;5.5052;41.6194;1.5472;0.14702;8.1708;16.001;58.5523;161.00831;11.3316;2.0799;0.40166;0.43026;0.21428;0.66028;1.3493;0.1929;0.007583;0.26592;2.8721;12.4385;10.7903;1.4272;0.39426;0.18279;25.7967;21.0964;28.7406;13.8407;2.2354;0.75703;0.26846;0.40274;0.89774;1.1904;1.0987;0.21905;0.20207;0.18482;0.077722;0.40598;1.4293;0.1222;0.93281;5.0273;4.7227
AT1G74320_3;AT1G74320;1.9844;0.011115;1.5069;1.8461;12.481;52.4552;140.5123;3.0662;22.4931;138.0569;1.2257;12.1472;9.9995;38.8517;725.026;1.6297;9.1699;0.11774;6.5931;1.0939;2.822;5.0711;19.5184;20.6681;49.1122;57.2759;196.1821;2578.7817;0.20543;1.1815;5.7365;81.8195;1035.9213;0.71219;2.9183;2.6004;7.0816;4.6985;123.8133;834.972;1058.1496;5.6005;5.8443;4.3627;41.3372;147.7589;399.545;947.5542;967.6937;0.27288;1.4698;4.1326;8.9456;17.1516;1.5744;31.4514;94.0586;0.29871;5.7506;5.737;54.9317;107.6501;52.6856;0.35972;3.2048;49.1122;0.88959;3.4335;7.9178;92.6721;0.6933;0.76713;1.7641;0.77632;6.2237;41.0998;1.8032;0.13841;10.9275;19.4149;62.1529;173.58718;13.164;2.146;0.40507;0.42532;0.014428;0.25362;0.73196;0.096043;0.0071715;0.16453;1.2688;9.607;9.5775;1.463;0.35678;0.15925;19.8683;25.8905;31.5598;15.2925;1.5641;0.94353;0.28822;0.52451;0.69509;0.99941;0.88851;0.1558;0.19044;0.12886;0.070745;0.53533;1.3881;0.12605;0.86654;5.7202;4.9053
AT1G74320_4;AT1G74320;2.0355;0.055197;1.1966;1.9172;12.2772;48.1741;130.6888;2.9858;20.3365;112.4372;1.2115;13.2829;9.8107;42.1212;789.3914;1.5601;7.4553;0.10097;6.1393;0.90268;2.4299;4.7719;18.5521;20.6274;48.4023;59.5396;200.3083;2476.4674;0.23296;1.2217;5.1112;87.9321;1015.8314;0.73529;2.7413;2.471;5.9852;5.3675;119.9656;840.0936;1065.333;5.564;5.2473;4.4566;47.1953;132.0669;401.7046;1047.1373;951.8867;0.28459;1.623;3.9968;7.8229;12.6331;1.2928;40.7829;89.3095;0.30388;6.0089;5.8935;57.5977;98.7355;48.3091;0.35469;2.9292;48.4023;0.83212;2.4469;8.2342;78.2166;0.63781;0.60653;1.0737;1.6509;6.2737;38.0099;1.6617;0.10797;9.6494;14.1206;83.6504;138.94409;10.7687;1.3864;0.32656;0.3405;1.1073;1.9537;0.88822;0.15035;0.0071224;0.84031;4.3786;13.5853;10.5511;1.6955;0.34019;0.66641;30.3039;27.6016;38.7875;14.3384;3.4442;0.93817;0.28886;0.49663;0.87079;1.2731;0.93015;0.14975;0.21427;0.15032;0.01064;0.42355;1.419;0.15372;1.0086;4.4585;4.4998
AT1G74320_5;AT1G74320;1.9606;0.0091945;1.422;1.7907;11.8551;50.3884;145.8098;3.0032;21.2325;130.2364;1.4254;12.8574;11.2178;41.6139;765.0092;1.6345;9.2414;0.087032;7.939;0.88149;2.5081;4.8343;17.8387;16.8538;44.4593;47.3928;180.4087;2415.1774;0.26438;1.4;5.8405;89.032;989.3655;0.78346;2.8081;2.8701;10.0783;6.0725;124.4895;847.4836;1039.4283;4.8345;6.434;4.3895;49.2942;118.111;413.2371;1005.9145;1026.5765;0.38638;1.5824;5.0385;9.0532;18.2119;1.1055;37.145;100.7975;0.364;6.514;6.4125;57.0662;109.9554;66.6649;0.35504;3.155;44.4593;1.023;2.809;6.9239;89.6484;0.7427;0.7958;1.3878;1.2859;5.9296;47.1004;1.5555;0.12473;9.3513;13.1327;78.7607;146.19255;13.2813;1.3064;0.35175;0.39894;0.6869;1.7805;0.84279;0.16075;0.082328;0.60644;5.3875;14.7894;14.2089;1.718;0.48798;0.64238;44.6016;37.0741;56.0896;21.8205;4.8468;1.24;0.33663;0.42583;1.0275;1.4777;1.3093;0.16078;0.22404;0.1377;0.061873;0.65005;1.5169;0.14212;1.1751;5.6552;5.1959
AT1G74320_6;AT1G74320;2.2558;0.010557;1.2371;1.8211;11.8991;46.738;138.4572;3.3845;21.9726;111.0737;1.264;12.182;10.9787;44.8731;854.9457;1.4913;7.8317;0.10374;10.0785;1.025;2.9915;5.0769;17.2104;21.4423;48.2867;56.482;200.351;2449.1879;0.15266;1.2025;4.4637;99.672;926.9747;0.71326;2.3469;2.6855;11.0681;5.813;119.1189;900.9804;1076.4261;5.0152;4.9368;4.7901;60.7185;139.1575;485.1655;987.5159;889.8706;0.35396;2.0217;5.2562;7.584;16.9236;1.0976;40.3431;88.9184;0.24621;7.1508;6.169;63.319;100.0637;45.8589;0.27684;3.4712;48.2867;0.87361;2.5604;8.1901;75.6645;0.59843;0.69257;1.2356;1.5289;6.9966;35.73;1.5296;0.091396;8.3072;14.3627;68.2855;136.336;11.0576;1.0483;0.29289;0.27347;0.7697;2.2468;1.4546;0.26727;0.088787;0.78536;5.0233;14.7087;12.21;1.5546;0.33609;0.65617;22.4637;33.3256;41.8368;14.9433;1.6385;0.82322;0.2087;0.53534;0.74283;1.0455;0.8712;0.10329;0.16826;0.17019;0.010175;0.62975;1.3708;0.17504;1.2577;5.414;4.5171
AT1G77590_1;AT1G77590;4.8676;0.013212;2.8805;4.7049;23.2777;107.673;136.9133;4.899;40.5702;212.8246;2.0394;10.2571;21.2287;69.0162;960.9912;2.2359;14.0988;0.41777;17.444;2.3735;4.6497;7.0778;34.1442;21.1425;42.8702;54.332;240.0458;2533.1344;0.01831;3.1841;10.3599;81.5734;1018.1888;0.093606;4.7419;3.462;20.7452;8.7126;86.0894;773.2086;779.9181;5.2858;9.7777;3.7919;52.0978;38.3293;510.9329;893.8436;680.2433;0.21591;1.726;7.1473;11.4622;21.3292;1.777;80.6638;66.1928;0.45352;6.1965;4.6957;61.6872;105.4714;42.7086;0.30853;21.1425;42.8702;0.76275;5.0544;18.2205;141.7139;0.064698;2.1855;1.6084;1.0688;13.2842;75.4189;8.6592;0.52527;25.3827;73.7981;169.2748;1.21229;158.3404;22.2966;2.9192;2.5039;1.4145;4.4077;10.7019;0.4927;0.27691;4.8383;21.628;64.0166;31.33;3.4955;0.93227;4.0552;50.8855;101.2408;113.1545;40.0729;14.6321;2.6033;0.52398;7.1645;3.0224;4.2112;2.7896;1.092;0.83629;0.49103;0.22365;1.4888;3.0323;0.24366;3.5061;11.9081;7.6482
AT1G77590_2;AT1G77590;5.372;0.15972;3.2033;5.0462;26.4445;105.0129;142.1276;5.5191;42.7183;231.5176;2.3068;13.4118;23.617;75.7473;890.1658;2.5412;16.9328;0.32013;15.1794;2.1719;5.159;7.1519;28.0147;17.8877;35.0101;44.8696;233.5917;2067.4665;0.20014;3.6551;6.4701;65.4539;897.7948;1.226;5.5636;3.9514;23.5322;11.3279;90.908;748.1312;897.0653;5.1081;11.5396;3.7212;57.6697;44.6698;605.736;1085.6499;926.5975;0.20574;2.2145;8.0474;16.5368;27.0612;1.5809;83.8598;71.2913;0.77607;7.0168;4.6744;72.8174;127.5084;74.9994;0.36683;17.8877;35.0101;1.3311;3.7901;16.2204;144.5123;1.5152;1.582;1.3878;0.62794;12.7744;72.8022;2.0121;0.24366;7.3181;24.9203;77.0323;0.90863;109.8535;3.6627;0.71757;0.74052;1.0676;2.743;1.8396;0.31207;0.15656;2.0879;6.6457;37.4593;22.3921;2.7556;0.65806;1.082;40.7724;84.0691;104.5944;41.4767;12.32;2.119;0.56456;0.61691;1.0005;2.8523;2.047;0.41654;0.4332;0.28505;0.16815;1.4519;3.3049;0.30536;3.1603;11.5805;7.231
